seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf,cargo_pretendido
3,230000975833,77,VASTÍ SANTOS,SOLIDARIEDADE - SOLIDARIEDADE / CIDADANIA,THIAGO SARAIVA,n,Não eleito,Válido,1126,"  22,31",1,s,rr,prefeito
2,230001216377,22,GLEYCE MOTA,PL - PSC / PL / PROS,ANDERSON BIL,n,Não eleito,Válido,1445,"  28,64",1,s,rr,prefeito
5,230000865100,43,ANARIO FILHO,PV,TUXAUA VANDO,n,Não eleito,Válido,299,"   5,93",1,s,rr,prefeito
4,230001215442,10,ZANZA SANTANA,REPUBLICANOS,PASTOR EMILIANO,n,Não eleito,Válido,628,"  12,45",1,s,rr,prefeito
1,230000743760,15,NUBIA LIMA,MDB - MDB / PSD,OZEAS,s,Eleito,Válido,1548,"  30,68",1,s,rr,prefeito
2,230000728367,22,WAGNER NUNES,PL - PL / SOLIDARIEDADE,JOSÉ DE SOUSA,n,Não eleito,Válido,2947,"  34,27",1,s,rr,prefeito
3,230000857918,10,ERLEI CUNHA,REPUBLICANOS - REPUBLICANOS / CIDADANIA,RAIMUNDINHO,n,Não eleito,Válido,1724,"  20,05",1,s,rr,prefeito
1,230000681553,55,PEDRO HENRIQUE MACHADO,PSD - PSD / PP,SIMONE,s,Eleito,Válido,3928,"  45,68",1,s,rr,prefeito
9,230000838292,50,FABIO ALMEIDA,PSOL,THIANA TATAIRA,n,Não eleito,Válido,1130,"   0,72",1,s,rr,prefeito
6,230000837842,19,PR ISAMAR,PODE,MAJOR OVERLAN,n,Não eleito,Válido,8303,"   5,26",1,s,rr,prefeito
10,230001248864,33,SHAOLYN GOMES,PMN,ADRIANA CASSELLI,n,Não eleito,Válido,583,"   0,37",1,s,rr,prefeito
8,230000838417,22,LUCIANO CASTRO,PL,PROFESSORA ALCIONE,n,Não eleito,Válido,4498,"   2,85",1,s,rr,prefeito
3,230001060562,18,LINOBERG,REDE - REDE / PC do B / PT** / PV,DOUTOR WESLEY THOMÉ,n,Não eleito,Válido,15775,"   9,99",1,s,rr,prefeito
2,230000840534,77,OTTACI,SOLIDARIEDADE - SOLIDARIEDADE / PATRIOTA / PT / PSC / PSB / PTC / PRTB / PROS / DC / CIDADANIA / PTB,LENIR,s,2º turno,Válido,16735,"  10,59",1,s,rr,prefeito
1,230000679861,15,ARTHUR HENRIQUE,MDB - MDB / PMB / AVANTE,CÁSSIO GOMES,s,2º turno,Válido,78425,"  49,64",1,s,rr,prefeito
7,230001060757,11,GERLANE,PP - PDT / PP,EDUARDO MATIAS,n,Não eleito,Válido,4966,"   3,14",1,s,rr,prefeito
5,230000632387,17,NICOLETTI,PSL,DRA LIDIANE,n,Não eleito,Válido,13451,"   8,51",1,s,rr,prefeito
